created_at,customer,customer.address,customer.address.city,customer.address.state,customer.address.street,customer.address.zip,customer.email,customer.name,customer_id,items,order_id,payment,payment.last_four,payment.method,shipping,shipping.carrier,shipping.cost,shipping.tracking,status,total
2024-07-19T00:00:00,"{""name"": ""Customer 10"", ""email"": ""customer10@shop.example"", ""address"": {""street"": ""768 Main St"", ""city"": ""Seattle"", ""state"": ""OR"", ""zip"": ""53780""}}","{""street"": ""768 Main St"", ""city"": ""Seattle"", ""state"": ""OR"", ""zip"": ""53780""}",Seattle,OR,768 Main St,53780,customer10@shop.example,Customer 10,8758,"[{""product"": ""Tablet"", ""quantity"": 2, ""price"": 593.05, ""sku"": ""SKU-787""}, {""product"": ""Camera"", ""quantity"": 5, ""price"": 852.89, ""sku"": ""SKU-570""}, {""product"": ""Camera"", ""quantity"": 5, ""price"": 768.72, ""sku"": ""SKU-161""}, {""product"": ""Speakers"", ""quantity"": 2, ""price"": 929.55, ""sku"": ""SKU-763""}]",ORD-10010,"{""method"": ""paypal"", ""last_four"": ""8380""}",8380,paypal,"{""carrier"": ""UPS"", ""tracking"": ""TR700386533"", ""cost"": 7.06}",UPS,7.06,TR700386533,cancelled,1388.65
2024-04-19T00:00:00,"{""name"": ""Customer 11"", ""email"": ""customer11@shop.example"", ""address"": {""street"": ""486 Main St"", ""city"": ""San Francisco"", ""state"": ""CO"", ""zip"": ""47614""}}","{""street"": ""486 Main St"", ""city"": ""San Francisco"", ""state"": ""CO"", ""zip"": ""47614""}",San Francisco,CO,486 Main St,47614,customer11@shop.example,Customer 11,4100,"[{""product"": ""Phone"", ""quantity"": 3, ""price"": 242.24, ""sku"": ""SKU-828""}, {""product"": ""Watch"", ""quantity"": 5, ""price"": 845.64, ""sku"": ""SKU-557""}, {""product"": ""Headphones"", ""quantity"": 3, ""price"": 158.81, ""sku"": ""SKU-459""}, {""product"": ""Speakers"", ""quantity"": 4, ""price"": 120.59, ""sku"": ""SKU-661""}]",ORD-10011,"{""method"": ""apple_pay"", ""last_four"": ""4073""}",4073,apple_pay,"{""carrier"": ""USPS"", ""tracking"": ""TR700870944"", ""cost"": 15.85}",USPS,15.85,TR700870944,shipped,726.76
2024-04-15T00:00:00,"{""name"": ""Customer 12"", ""email"": ""customer12@shop.example"", ""address"": {""street"": ""147 Main St"", ""city"": ""Seattle"", ""state"": ""CO"", ""zip"": ""30786""}}","{""street"": ""147 Main St"", ""city"": ""Seattle"", ""state"": ""CO"", ""zip"": ""30786""}",Seattle,CO,147 Main St,30786,customer12@shop.example,Customer 12,5142,"[{""product"": ""Headphones"", ""quantity"": 1, ""price"": 515.32, ""sku"": ""SKU-300""}, {""product"": ""Tablet"", ""quantity"": 4, ""price"": 691.88, ""sku"": ""SKU-439""}, {""product"": ""Phone"", ""quantity"": 5, ""price"": 572.28, ""sku"": ""SKU-264""}]",ORD-10012,"{""method"": ""apple_pay"", ""last_four"": ""3742""}",3742,apple_pay,"{""carrier"": ""USPS"", ""tracking"": ""TR383576786"", ""cost"": 14.28}",USPS,14.28,TR383576786,shipped,284.39
2024-04-18T00:00:00,"{""name"": ""Customer 13"", ""email"": ""customer13@shop.example"", ""address"": {""street"": ""26 Main St"", ""city"": ""Denver"", ""state"": ""WA"", ""zip"": ""29609""}}","{""street"": ""26 Main St"", ""city"": ""Denver"", ""state"": ""WA"", ""zip"": ""29609""}",Denver,WA,26 Main St,29609,customer13@shop.example,Customer 13,6728,"[{""product"": ""Speakers"", ""quantity"": 5, ""price"": 161.66, ""sku"": ""SKU-341""}, {""product"": ""Speakers"", ""quantity"": 2, ""price"": 343.16, ""sku"": ""SKU-781""}, {""product"": ""Speakers"", ""quantity"": 3, ""price"": 636.27, ""sku"": ""SKU-244""}]",ORD-10013,"{""method"": ""apple_pay"", ""last_four"": ""2123""}",2123,apple_pay,"{""carrier"": ""USPS"", ""tracking"": ""TR193516545"", ""cost"": 19.52}",USPS,19.52,TR193516545,pending,2489.94
2024-07-10T00:00:00,"{""name"": ""Customer 14"", ""email"": ""customer14@shop.example"", ""address"": {""street"": ""394 Main St"", ""city"": ""Seattle"", ""state"": ""CO"", ""zip"": ""40110""}}","{""street"": ""394 Main St"", ""city"": ""Seattle"", ""state"": ""CO"", ""zip"": ""40110""}",Seattle,CO,394 Main St,40110,customer14@shop.example,Customer 14,4209,"[{""product"": ""Camera"", ""quantity"": 2, ""price"": 594.55, ""sku"": ""SKU-980""}, {""product"": ""Phone"", ""quantity"": 3, ""price"": 31.38, ""sku"": ""SKU-901""}]",ORD-10014,"{""method"": ""apple_pay"", ""last_four"": ""5719""}",5719,apple_pay,"{""carrier"": ""FedEx"", ""tracking"": ""TR487915167"", ""cost"": 15.83}",FedEx,15.83,TR487915167,delivered,1373.63
2024-01-16T00:00:00,"{""name"": ""Customer 15"", ""email"": ""customer15@shop.example"", ""address"": {""street"": ""955 Main St"", ""city"": ""San Francisco"", ""state"": ""CO"", ""zip"": ""87196""}}","{""street"": ""955 Main St"", ""city"": ""San Francisco"", ""state"": ""CO"", ""zip"": ""87196""}",San Francisco,CO,955 Main St,87196,customer15@shop.example,Customer 15,4520,"[{""product"": ""Camera"", ""quantity"": 5, ""price"": 822.14, ""sku"": ""SKU-733""}, {""product"": ""Speakers"", ""quantity"": 2, ""price"": 953.46, ""sku"": ""SKU-736""}, {""product"": ""Phone"", ""quantity"": 1, ""price"": 197.7, ""sku"": ""SKU-230""}, {""product"": ""Camera"", ""quantity"": 1, ""price"": 55.37, ""sku"": ""SKU-862""}]",ORD-10015,"{""method"": ""apple_pay"", ""last_four"": ""3623""}",3623,apple_pay,"{""carrier"": ""FedEx"", ""tracking"": ""TR309348340"", ""cost"": 18.24}",FedEx,18.24,TR309348340,processing,2101.61
2024-07-04T00:00:00,"{""name"": ""Customer 16"", ""email"": ""customer16@shop.example"", ""address"": {""street"": ""159 Main St"", ""city"": ""Seattle"", ""state"": ""OR"", ""zip"": ""63788""}}","{""street"": ""159 Main St"", ""city"": ""Seattle"", ""state"": ""OR"", ""zip"": ""63788""}",Seattle,OR,159 Main St,63788,customer16@shop.example,Customer 16,5428,"[{""product"": ""Speakers"", ""quantity"": 4, ""price"": 843.02, ""sku"": ""SKU-396""}]",ORD-10016,"{""method"": ""credit_card"", ""last_four"": ""6742""}",6742,credit_card,"{""carrier"": ""UPS"", ""tracking"": ""TR543172209"", ""cost"": 17.09}",UPS,17.09,TR543172209,shipped,903.48
2024-02-28T00:00:00,"{""name"": ""Customer 17"", ""email"": ""customer17@shop.example"", ""address"": {""street"": ""982 Main St"", ""city"": ""San Francisco"", ""state"": ""OR"", ""zip"": ""74728""}}","{""street"": ""982 Main St"", ""city"": ""San Francisco"", ""state"": ""OR"", ""zip"": ""74728""}",San Francisco,OR,982 Main St,74728,customer17@shop.example,Customer 17,8063,"[{""product"": ""Camera"", ""quantity"": 3, ""price"": 596.24, ""sku"": ""SKU-384""}, {""product"": ""Phone"", ""quantity"": 5, ""price"": 869.13, ""sku"": ""SKU-154""}, {""product"": ""Camera"", ""quantity"": 1, ""price"": 39.92, ""sku"": ""SKU-481""}]",ORD-10017,"{""method"": ""paypal"", ""last_four"": ""6085""}",6085,paypal,"{""carrier"": ""USPS"", ""tracking"": ""TR497040017"", ""cost"": 24.09}",USPS,24.09,TR497040017,pending,2435.05
2024-07-07T00:00:00,"{""name"": ""Customer 18"", ""email"": ""customer18@shop.example"", ""address"": {""street"": ""927 Main St"", ""city"": ""Portland"", ""state"": ""CO"", ""zip"": ""59657""}}","{""street"": ""927 Main St"", ""city"": ""Portland"", ""state"": ""CO"", ""zip"": ""59657""}",Portland,CO,927 Main St,59657,customer18@shop.example,Customer 18,3257,"[{""product"": ""Phone"", ""quantity"": 3, ""price"": 575.9, ""sku"": ""SKU-588""}, {""product"": ""Headphones"", ""quantity"": 3, ""price"": 577.21, ""sku"": ""SKU-782""}, {""product"": ""Watch"", ""quantity"": 2, ""price"": 580.47, ""sku"": ""SKU-635""}]",ORD-10018,"{""method"": ""paypal"", ""last_four"": ""6753""}",6753,paypal,"{""carrier"": ""UPS"", ""tracking"": ""TR220555881"", ""cost"": 8.4}",UPS,8.4,TR220555881,pending,1642.83
2024-03-23T00:00:00,"{""name"": ""Customer 19"", ""email"": ""customer19@shop.example"", ""address"": {""street"": ""466 Main St"", ""city"": ""Portland"", ""state"": ""CO"", ""zip"": ""47316""}}","{""street"": ""466 Main St"", ""city"": ""Portland"", ""state"": ""CO"", ""zip"": ""47316""}",Portland,CO,466 Main St,47316,customer19@shop.example,Customer 19,5731,"[{""product"": ""Phone"", ""quantity"": 5, ""price"": 67.14, ""sku"": ""SKU-910""}, {""product"": ""Tablet"", ""quantity"": 1, ""price"": 967.16, ""sku"": ""SKU-363""}, {""product"": ""Headphones"", ""quantity"": 3, ""price"": 264.75, ""sku"": ""SKU-105""}]",ORD-10019,"{""method"": ""credit_card"", ""last_four"": ""2128""}",2128,credit_card,"{""carrier"": ""USPS"", ""tracking"": ""TR756170527"", ""cost"": 6.85}",USPS,6.85,TR756170527,shipped,532.72
2024-06-09T00:00:00,"{""name"": ""Customer 20"", ""email"": ""customer20@shop.example"", ""address"": {""street"": ""224 Main St"", ""city"": ""Seattle"", ""state"": ""WA"", ""zip"": ""74302""}}","{""street"": ""224 Main St"", ""city"": ""Seattle"", ""state"": ""WA"", ""zip"": ""74302""}",Seattle,WA,224 Main St,74302,customer20@shop.example,Customer 20,3875,"[{""product"": ""Tablet"", ""quantity"": 2, ""price"": 511.85, ""sku"": ""SKU-923""}]",ORD-10020,"{""method"": ""paypal"", ""last_four"": ""8122""}",8122,paypal,"{""carrier"": ""FedEx"", ""tracking"": ""TR515159570"", ""cost"": 22.81}",FedEx,22.81,TR515159570,delivered,2453.1
2024-07-14T00:00:00,"{""name"": ""Customer 21"", ""email"": ""customer21@shop.example"", ""address"": {""street"": ""172 Main St"", ""city"": ""Denver"", ""state"": ""WA"", ""zip"": ""85072""}}","{""street"": ""172 Main St"", ""city"": ""Denver"", ""state"": ""WA"", ""zip"": ""85072""}",Denver,WA,172 Main St,85072,customer21@shop.example,Customer 21,6241,"[{""product"": ""Speakers"", ""quantity"": 1, ""price"": 930.06, ""sku"": ""SKU-536""}, {""product"": ""Watch"", ""quantity"": 4, ""price"": 388.61, ""sku"": ""SKU-702""}, {""product"": ""Phone"", ""quantity"": 2, ""price"": 292.31, ""sku"": ""SKU-767""}]",ORD-10021,"{""method"": ""apple_pay"", ""last_four"": ""4967""}",4967,apple_pay,"{""carrier"": ""UPS"", ""tracking"": ""TR675842267"", ""cost"": 12.01}",UPS,12.01,TR675842267,cancelled,963.75
2024-02-29T00:00:00,"{""name"": ""Customer 22"", ""email"": ""customer22@shop.example"", ""address"": {""street"": ""741 Main St"", ""city"": ""Portland"", ""state"": ""OR"", ""zip"": ""52005""}}","{""street"": ""741 Main St"", ""city"": ""Portland"", ""state"": ""OR"", ""zip"": ""52005""}",Portland,OR,741 Main St,52005,customer22@shop.example,Customer 22,2969,"[{""product"": ""Phone"", ""quantity"": 5, ""price"": 462.01, ""sku"": ""SKU-922""}, {""product"": ""Headphones"", ""quantity"": 1, ""price"": 126.56, ""sku"": ""SKU-205""}, {""product"": ""Headphones"", ""quantity"": 1, ""price"": 388.39, ""sku"": ""SKU-647""}]",ORD-10022,"{""method"": ""credit_card"", ""last_four"": ""7880""}",7880,credit_card,"{""carrier"": ""FedEx"", ""tracking"": ""TR508344910"", ""cost"": 23.11}",FedEx,23.11,TR508344910,cancelled,1737.27
2024-05-09T00:00:00,"{""name"": ""Customer 23"", ""email"": ""customer23@shop.example"", ""address"": {""street"": ""581 Main St"", ""city"": ""San Francisco"", ""state"": ""CA"", ""zip"": ""52367""}}","{""street"": ""581 Main St"", ""city"": ""San Francisco"", ""state"": ""CA"", ""zip"": ""52367""}",San Francisco,CA,581 Main St,52367,customer23@shop.example,Customer 23,6124,"[{""product"": ""Headphones"", ""quantity"": 1, ""price"": 47.7, ""sku"": ""SKU-790""}]",ORD-10023,"{""method"": ""credit_card"", ""last_four"": ""9138""}",9138,credit_card,"{""carrier"": ""UPS"", ""tracking"": ""TR368700335"", ""cost"": 23.55}",UPS,23.55,TR368700335,processing,2289.91
2024-06-11T00:00:00,"{""name"": ""Customer 24"", ""email"": ""customer24@shop.example"", ""address"": {""street"": ""415 Main St"", ""city"": ""Denver"", ""state"": ""CA"", ""zip"": ""16657""}}","{""street"": ""415 Main St"", ""city"": ""Denver"", ""state"": ""CA"", ""zip"": ""16657""}",Denver,CA,415 Main St,16657,customer24@shop.example,Customer 24,1328,"[{""product"": ""Speakers"", ""quantity"": 5, ""price"": 994.86, ""sku"": ""SKU-782""}, {""product"": ""Phone"", ""quantity"": 5, ""price"": 916.72, ""sku"": ""SKU-228""}, {""product"": ""Laptop"", ""quantity"": 1, ""price"": 514.07, ""sku"": ""SKU-257""}]",ORD-10024,"{""method"": ""apple_pay"", ""last_four"": ""7318""}",7318,apple_pay,"{""carrier"": ""USPS"", ""tracking"": ""TR985225559"", ""cost"": 6.12}",USPS,6.12,TR985225559,processing,127.85
2024-02-15T00:00:00,"{""name"": ""Customer 25"", ""email"": ""customer25@shop.example"", ""address"": {""street"": ""626 Main St"", ""city"": ""Seattle"", ""state"": ""WA"", ""zip"": ""96557""}}","{""street"": ""626 Main St"", ""city"": ""Seattle"", ""state"": ""WA"", ""zip"": ""96557""}",Seattle,WA,626 Main St,96557,customer25@shop.example,Customer 25,1707,"[{""product"": ""Watch"", ""quantity"": 4, ""price"": 605.16, ""sku"": ""SKU-153""}, {""product"": ""Phone"", ""quantity"": 2, ""price"": 334.33, ""sku"": ""SKU-150""}, {""product"": ""Laptop"", ""quantity"": 5, ""price"": 668.44, ""sku"": ""SKU-839""}]",ORD-10025,"{""method"": ""credit_card"", ""last_four"": ""8598""}",8598,credit_card,"{""carrier"": ""USPS"", ""tracking"": ""TR744273373"", ""cost"": 11.62}",USPS,11.62,TR744273373,cancelled,1908.05
2024-03-04T00:00:00,"{""name"": ""Customer 26"", ""email"": ""customer26@shop.example"", ""address"": {""street"": ""600 Main St"", ""city"": ""Denver"", ""state"": ""CO"", ""zip"": ""68321""}}","{""street"": ""600 Main St"", ""city"": ""Denver"", ""state"": ""CO"", ""zip"": ""68321""}",Denver,CO,600 Main St,68321,customer26@shop.example,Customer 26,1245,"[{""product"": ""Headphones"", ""quantity"": 5, ""price"": 957.54, ""sku"": ""SKU-228""}, {""product"": ""Speakers"", ""quantity"": 4, ""price"": 546.98, ""sku"": ""SKU-659""}]",ORD-10026,"{""method"": ""apple_pay"", ""last_four"": ""8559""}",8559,apple_pay,"{""carrier"": ""FedEx"", ""tracking"": ""TR294792339"", ""cost"": 8.47}",FedEx,8.47,TR294792339,delivered,579.74
2024-04-24T00:00:00,"{""name"": ""Customer 27"", ""email"": ""customer27@shop.example"", ""address"": {""street"": ""839 Main St"", ""city"": ""Denver"", ""state"": ""WA"", ""zip"": ""99317""}}","{""street"": ""839 Main St"", ""city"": ""Denver"", ""state"": ""WA"", ""zip"": ""99317""}",Denver,WA,839 Main St,99317,customer27@shop.example,Customer 27,1703,"[{""product"": ""Laptop"", ""quantity"": 5, ""price"": 795.02, ""sku"": ""SKU-870""}]",ORD-10027,"{""method"": ""credit_card"", ""last_four"": ""7654""}",7654,credit_card,"{""carrier"": ""UPS"", ""tracking"": ""TR604788299"", ""cost"": 21.99}",UPS,21.99,TR604788299,shipped,665.05
2024-04-11T00:00:00,"{""name"": ""Customer 28"", ""email"": ""customer28@shop.example"", ""address"": {""street"": ""205 Main St"", ""city"": ""Portland"", ""state"": ""OR"", ""zip"": ""55300""}}","{""street"": ""205 Main St"", ""city"": ""Portland"", ""state"": ""OR"", ""zip"": ""55300""}",Portland,OR,205 Main St,55300,customer28@shop.example,Customer 28,4485,"[{""product"": ""Speakers"", ""quantity"": 3, ""price"": 28.01, ""sku"": ""SKU-568""}]",ORD-10028,"{""method"": ""apple_pay"", ""last_four"": ""6705""}",6705,apple_pay,"{""carrier"": ""FedEx"", ""tracking"": ""TR890249060"", ""cost"": 12.43}",FedEx,12.43,TR890249060,delivered,1671.28
2024-05-24T00:00:00,"{""name"": ""Customer 29"", ""email"": ""customer29@shop.example"", ""address"": {""street"": ""674 Main St"", ""city"": ""Seattle"", ""state"": ""OR"", ""zip"": ""42046""}}","{""street"": ""674 Main St"", ""city"": ""Seattle"", ""state"": ""OR"", ""zip"": ""42046""}",Seattle,OR,674 Main St,42046,customer29@shop.example,Customer 29,6586,"[{""product"": ""Phone"", ""quantity"": 3, ""price"": 575.92, ""sku"": ""SKU-100""}, {""product"": ""Watch"", ""quantity"": 5, ""price"": 184.05, ""sku"": ""SKU-961""}, {""product"": ""Speakers"", ""quantity"": 3, ""price"": 957.87, ""sku"": ""SKU-549""}]",ORD-10029,"{""method"": ""paypal"", ""last_four"": ""6222""}",6222,paypal,"{""carrier"": ""UPS"", ""tracking"": ""TR899247795"", ""cost"": 17.12}",UPS,17.12,TR899247795,shipped,852.21
2024-05-04T00:00:00,"{""name"": ""Customer 30"", ""email"": ""customer30@shop.example"", ""address"": {""street"": ""852 Main St"", ""city"": ""San Francisco"", ""state"": ""WA"", ""zip"": ""51292""}}","{""street"": ""852 Main St"", ""city"": ""San Francisco"", ""state"": ""WA"", ""zip"": ""51292""}",San Francisco,WA,852 Main St,51292,customer30@shop.example,Customer 30,3528,"[{""product"": ""Phone"", ""quantity"": 2, ""price"": 968.15, ""sku"": ""SKU-260""}, {""product"": ""Tablet"", ""quantity"": 5, ""price"": 399.3, ""sku"": ""SKU-580""}]",ORD-10030,"{""method"": ""credit_card"", ""last_four"": ""7076""}",7076,credit_card,"{""carrier"": ""FedEx"", ""tracking"": ""TR640044425"", ""cost"": 7.31}",FedEx,7.31,TR640044425,processing,1977.33
2024-03-03T00:00:00,"{""name"": ""Customer 31"", ""email"": ""customer31@shop.example"", ""address"": {""street"": ""47 Main St"", ""city"": ""San Francisco"", ""state"": ""OR"", ""zip"": ""92080""}}","{""street"": ""47 Main St"", ""city"": ""San Francisco"", ""state"": ""OR"", ""zip"": ""92080""}",San Francisco,OR,47 Main St,92080,customer31@shop.example,Customer 31,7804,"[{""product"": ""Laptop"", ""quantity"": 2, ""price"": 605.9, ""sku"": ""SKU-956""}, {""product"": ""Phone"", ""quantity"": 2, ""price"": 449.4, ""sku"": ""SKU-548""}, {""product"": ""Headphones"", ""quantity"": 2, ""price"": 145.24, ""sku"": ""SKU-163""}]",ORD-10031,"{""method"": ""credit_card"", ""last_four"": ""9860""}",9860,credit_card,"{""carrier"": ""FedEx"", ""tracking"": ""TR889132345"", ""cost"": 23.97}",FedEx,23.97,TR889132345,shipped,542.66
2024-06-04T00:00:00,"{""name"": ""Customer 32"", ""email"": ""customer32@shop.example"", ""address"": {""street"": ""438 Main St"", ""city"": ""Denver"", ""state"": ""CO"", ""zip"": ""32136""}}","{""street"": ""438 Main St"", ""city"": ""Denver"", ""state"": ""CO"", ""zip"": ""32136""}",Denver,CO,438 Main St,32136,customer32@shop.example,Customer 32,9919,"[{""product"": ""Tablet"", ""quantity"": 4, ""price"": 174.57, ""sku"": ""SKU-291""}, {""product"": ""Headphones"", ""quantity"": 3, ""price"": 746.72, ""sku"": ""SKU-375""}, {""product"": ""Speakers"", ""quantity"": 5, ""price"": 154.62, ""sku"": ""SKU-153""}, {""product"": ""Phone"", ""quantity"": 1, ""price"": 492.9, ""sku"": ""SKU-698""}]",ORD-10032,"{""method"": ""apple_pay"", ""last_four"": ""6106""}",6106,apple_pay,"{""carrier"": ""FedEx"", ""tracking"": ""TR271194950"", ""cost"": 10.15}",FedEx,10.15,TR271194950,delivered,1734.1
